,price,bedrooms,bathrooms,garage,area
0,10800,2,2,1,85
1,29800,2,2,2,110
2,16000,2,2,2,70
3,29000,3,4,2,159
4,14500,3,3,2,90
5,23000,2,2,2,120
6,26250,2,2,2,100
7,16500,4,3,2,103
8,17000,3,2,2,140
9,35000,3,4,2,282
10,12000,3,2,2,88
11,17000,3,2,2,105
12,17000,3,2,2,105
13,13500,3,2,2,99
14,10800,2,2,1,85
15,29800,2,2,2,110
16,24000,2,2,2,120
17,50000,5,4,3,600
18,59500,3,3,4,300
19,4900,2,1,1,80
20,8500,3,2,2,85
21,36000,3,3,2,160
22,12000,3,2,2,88
23,25500,2,2,2,95
25,16000,3,2,2,110
26,32000,1,2,2,92
27,15500,1,1,2,65
28,12000,2,1,2,108
29,35000,4,4,4,357
30,13500,3,2,2,99
31,65000,4,4,2,600
32,13200,3,3,2,85
33,38000,3,3,2,173
34,62000,4,4,4,560
35,21000,3,2,2,135
36,17000,3,2,2,105
37,21000,3,2,2,135
38,25000,3,3,2,144
39,27000,2,2,2,117
40,27000,2,2,2,117
41,85000,4,4,4,469
42,24000,4,4,3,190
43,6800,2,1,1,80
44,12000,4,3,2,90
45,13200,3,3,2,85
46,8500,3,2,2,85
47,6600,3,1,2,102
48,18000,2,1,1,90
49,12000,3,2,2,88
50,17000,3,2,2,105
51,35000,3,4,2,282
52,17000,3,2,2,140
53,17000,3,2,2,105
54,13200,3,2,2,150
55,12500,3,3,1,127
56,58000,3,2,2,157
57,9500,4,2,2,75
59,40000,2,2,2,167
60,30000,2,2,2,110
61,38000,3,2,2,183
62,35000,3,2,2,136
63,45000,3,3,2,167
64,21000,3,4,2,127
65,14500,3,3,2,90
66,26250,2,2,2,100
67,28500,3,2,2,120
68,50000,3,3,2,157
69,13000,3,2,2,88
70,70000,3,4,3,316
71,15000,2,2,2,127
72,26000,1,2,1,110
73,26000,3,2,2,107
74,26000,3,2,2,120
75,11800,2,2,2,85
77,25500,5,4,2,145
78,25500,4,4,2,144
79,25500,4,4,2,144
80,70000,5,4,4,800
81,50000,3,3,3,175
82,22000,3,3,2,160
83,32000,2,2,2,96
84,19900,3,2,2,108
85,18500,3,2,2,300
86,30000,4,2,4,420
87,65000,2,2,2,157
88,43000,2,2,2,133
89,68000,3,2,2,157
90,40000,1,1,2,102
91,80000,5,4,4,820
92,38000,4,4,3,410
93,85000,5,4,4,850
94,54500,3,3,3,183
95,38000,2,2,2,140
97,8500,3,2,2,85
100,87000,5,4,4,500
101,60000,4,4,3,310
102,85000,4,4,2,469
103,15000,2,1,1,80
104,25000,3,4,2,180
105,26000,2,2,2,100
106,26000,2,3,2,100
107,26000,2,2,2,120
108,26000,2,2,2,100
109,32000,2,2,2,80
110,29800,2,2,2,120
111,23000,2,2,2,125
112,85000,4,4,4,469
113,12500,2,1,1,100
114,17000,3,4,2,280
115,40000,4,4,4,455
116,17500,3,2,2,90
117,43000,4,4,3,349
119,23000,2,2,2,85
120,32000,3,2,2,167
121,11500,3,1,1,108
123,16600,2,2,1,162
124,28000,3,2,2,150
125,29500,4,3,3,310
126,62000,4,4,4,560
127,26250,2,2,2,100
128,28000,2,2,2,234
129,45000,4,4,4,440
130,20000,3,3,2,140
131,18000,1,1,1,83
