,location,price,bedrooms,bathrooms,garage,area
0,Nuevo México,"
                    $10,800
                    
                ",2,2,1,85 m²
1,Puerta de Hierro,"
                    $29,800
                    
                ",2,2,2,110 m²
2,Colinas de Atemajac,"
                    $16,000
                    
                ",2,2,2,70 m²
3,Solares Residencial,"
                    $29,000
                    
                ",3,4+,2,159 m²
4,Jardines del Valle,"
                    $14,500
                    
                ",3,3,2,90 m²
5,Zapopan,"
                    $23,000
                    
                ",2,2,2,120 m²
6,Zapopan,"
                    $26,250
                    
                ",2,2,2,100 m²
7,Granja,"
                    $16,500
                    
                ",4,3,2,103 m²
8,Los Almendros,"
                    $17,000
                    
                ",3,2,2,140 m²
9,Lomas del Seminario,"
                    $35,000
                    
                ",3,4+,2,282 m²
10,Zapopan,"
                    $12,000
                    
                ",3,2,2,88 m²
11,Zapopan,"
                    $17,000
                    
                ",3,2,2,105 m²
12,Zapopan,"
                    $17,000
                    
                ",3,2,2,105 m²
13,Zapopan,"
                    $13,500
                    
                ",3,2,2,99 m²
14,Nuevo México,"
                    $10,800
                    
                ",2,2,1,85 m²
15,Puerta de Hierro,"
                    $29,800
                    
                ",2,2,2,110 m²
16,Zapopan,"
                    $24,000
                    
                ",2,2,2,120 m²
17,Chapalita Sur,"
                        $50,000
                        
                    ",5,4+,3,600 m²
18,Valle Real,"
                    $59,500
                    
                ",3,3,4+,300 m²
19,Jardines del Valle,"
                    $4,900
                    
                ",2,1,1,80 m²
20,Zapopan,"
                    $8,500
                    
                ",3,2,2,85 m²
21,Solares Residencial,"
                        $36,000
                        
                    ",3,3,2,160 m²
22,Zapopan,"
                    $12,000
                    
                ",3,2,2,88 m²
23,Puerta de Hierro,"
                    $25,500
                    
                ",2,2,2,95 m²
24,Zapopan,"
                    $150,000
                    
                ",4,4+,4+,384 m²
25,Zapopan,"
                    $16,000
                    
                ",3,2,2,110 m²
26,Puerta de Hierro,"
                    $32,000
                    
                ",1,2,2,92 m²
27,Zapopan,"
                    $15,500
                    
                ",1,1,2,65 m²
28,Lomas Altas,"
                    $12,000
                    
                ",2,1,2,108 m²
29,Royal Country,"
                    $35,000
                    
                ",4,4+,4+,357 m²
30,Zapopan,"
                    $13,500
                    
                ",3,2,2,99 m²
31,Rinconada del Bosque,"
                    $65,000
                    
                ",4,4+,2,600 m²
