,location,price,bedrooms,bathrooms,garage,area
0,Nuevo México,10800,2,2,1,85
1,Puerta de Hierro,29800,2,2,2,110
2,Colinas de Atemajac,16000,2,2,2,70
3,Solares Residencial,29000,3,4,2,159
4,Jardines del Valle,14500,3,3,2,90
5,Zapopan,23000,2,2,2,120
6,Zapopan,26250,2,2,2,100
7,Granja,16500,4,3,2,103
8,Los Almendros,17000,3,2,2,140
9,Lomas del Seminario,35000,3,4,2,282
10,Zapopan,12000,3,2,2,88
11,Zapopan,17000,3,2,2,105
12,Zapopan,17000,3,2,2,105
13,Zapopan,13500,3,2,2,99
14,Nuevo México,10800,2,2,1,85
15,Puerta de Hierro,29800,2,2,2,110
16,Zapopan,24000,2,2,2,120
17,Chapalita Sur,50000,5,4,3,600
18,Valle Real,59500,3,3,4,300
19,Jardines del Valle,4900,2,1,1,80
20,Zapopan,8500,3,2,2,85
21,Solares Residencial,36000,3,3,2,160
22,Zapopan,12000,3,2,2,88
23,Puerta de Hierro,25500,2,2,2,95
24,Zapopan,150000,4,4,4,384
25,Zapopan,16000,3,2,2,110
26,Puerta de Hierro,32000,1,2,2,92
27,Zapopan,15500,1,1,2,65
28,Lomas Altas,12000,2,1,2,108
29,Royal Country,35000,4,4,4,357
30,Zapopan,13500,3,2,2,99
31,Rinconada del Bosque,65000,4,4,2,600
32,Arenales Tapatíos,13200,3,3,2,85
33,Zapopan,38000,3,3,2,173
34,Valle Real,62000,4,4,4,560
35,Zona Real,21000,3,2,2,135
36,Zapopan,17000,3,2,2,105
37,Zona Real,21000,3,2,2,135
38,Zapopan,25000,3,3,2,144
39,Puerta del Valle,27000,2,2,2,117
40,Poniente,27000,2,2,2,117
41,Valle Real,85000,4,4,4,469
42,Solares Residencial,24000,4,4,3,190
43,Parques Tesistan,6800,2,1,1,80
44,Jal.,12000,4,3,2,90
45,Arenales Tapatíos,13200,3,3,2,85
46,Zapopan,8500,3,2,2,85
47,Jal.,6600,3,1,2,102
48,Zapopan,18000,2,1,1,90
49,Zapopan,12000,3,2,2,88
50,Zapopan,17000,3,2,2,105
51,Lomas del Seminario,35000,3,4,2,282
52,Los Almendros,17000,3,2,2,140
53,Zapopan,17000,3,2,2,105
54,Zapopan,13200,3,2,2,150
55,Poniente,12500,3,3,1,127
56,Puerta Plata,58000,3,2,2,157
57,La Haciendita,9500,4,2,2,75
58,El Prado,140000,3,4,4,1462
59,Zapopan,40000,2,2,2,167
60,Zapopan,30000,2,2,2,110
61,Zapopan,38000,3,2,2,183
62,Zapopan,35000,3,2,2,136
63,Zapopan,45000,3,3,2,167
64,Altamira,21000,3,4,2,127
65,Jardines del Valle,14500,3,3,2,90
66,Zapopan,26250,2,2,2,100
67,Hacienda de las Lomas,28500,3,2,2,120
68,Zapopan,50000,3,3,2,157
69,Zapopan,13000,3,2,2,88
70,Royal Country,70000,3,4,3,316
71,Villa Bosque (Villa Panamericana),15000,2,2,2,127
72,Jardines Universidad,26000,1,2,1,110
73,Jardines Universidad,26000,3,2,2,107
74,Jardines Universidad,26000,3,2,2,120
75,Nuevo México,11800,2,2,2,85
76,Colli Urbano,120000,2,2,4,500
77,Zapopan,25500,5,4,2,145
78,Zapopan,25500,4,4,2,144
79,Zapopan,25500,4,4,2,144
80,Loma Real,70000,5,4,4,800
81,Puerta de Hierro,50000,3,3,3,175
82,Nuevo México,22000,3,3,2,160
83,Puerta de Hierro,32000,2,2,2,96
84,Girasoles Elite,19900,3,2,2,108
85,Prados Tepeyac,18500,3,2,2,300
86,Conjunto Patria,30000,4,2,4,420
87,Puerta Plata,65000,2,2,2,157
88,Zapopan,43000,2,2,2,133
89,Puerta Plata,68000,3,2,2,157
90,Zapopan,40000,1,1,2,102
91,Patria Universidad,80000,5,4,4,820
92,Patria,38000,4,4,3,410
93,Puerta de Hierro,85000,5,4,4,850
94,Puerta de Hierro,54500,3,3,3,183
95,Puerta de Hierro,38000,2,2,2,140
96,Azaleas,130000,3,3,4,1700
97,Zapopan,8500,3,2,2,85
98,Lomas del Valle,120000,4,4,4,996
99,Zapopan,150000,4,4,4,384
100,Rinconada del Bosque,87000,5,4,4,500
101,Rinconada del Bosque,60000,4,4,3,310
102,Valle Real,85000,4,4,2,469
103,La Estancia,15000,2,1,1,80
104,Jardín Real,25000,3,4,2,180
105,Camino Real,26000,2,2,2,100
106,Camino Real,26000,2,3,2,100
107,Jardines Universidad,26000,2,2,2,120
108,Camino Real,26000,2,2,2,100
109,Puerta de Hierro,32000,2,2,2,80
110,Puerta de Hierro,29800,2,2,2,120
111,Zapopan,23000,2,2,2,125
112,Valle Real,85000,4,4,4,469
113,Arboledas,12500,2,1,1,100
114,La Calma,17000,3,4,2,280
115,Bugambilias,40000,4,4,4,455
116,Jardines del Valle,17500,3,2,2,90
117,La Mojonera,43000,4,4,3,349
118,Pinar de la Venta,39500,3,3,4,3000
119,San Wenceslao,23000,2,2,2,85
120,Zapopan,32000,3,2,2,167
121,Las Águilas,11500,3,1,1,108
122,Zapopan,130000,5,4,4,380
123,Arcos de Guadalupe,16600,2,2,1,162
124,Real Vallarta,28000,3,2,2,150
125,Jardines Universidad,29500,4,3,3,310
126,Valle Real,62000,4,4,4,560
127,Zapopan,26250,2,2,2,100
128,Zapopan,28000,2,2,2,234
129,Nuevo México,45000,4,4,4,440
130,La Cima,20000,3,3,2,140
131,Lomas de La Primavera,18000,1,1,1,83
132,Seattle,19000,1,2,3,298
133,Puerta de Hierro,35000,3,2,2,129
134,Paseos del Sol,11900,3,2,2,155
135,Seattle,25000,2,2,2,391
136,Solares Residencial,27500,3,3,2,148
137,Jardines del Valle,17500,3,2,2,90
138,Jardines del Valle,8000,3,2,1,69
139,Paraísos del Colli,9000,1,1,1,161
